2021-11-04 14:49:07.5791||INFO|Hangfire.SqlServer.SqlServerObjectsInstaller|Start installing Hangfire SQL objects... |url: |action: 
2021-11-04 14:49:09.0632||INFO|Hangfire.SqlServer.SqlServerObjectsInstaller|Hangfire SQL objects installed. |url: |action: 
2021-11-04 14:49:09.0632||INFO|Hangfire.BackgroundJobServer|Starting Hangfire Server using job storage: 'SQL Server: localhost@Test' |url: |action: 
2021-11-04 14:49:09.0796||INFO|Hangfire.BackgroundJobServer|Using the following options for SQL Server job storage: Queue poll interval: 00:00:15. |url: |action: 
2021-11-04 14:49:09.0796||INFO|Hangfire.BackgroundJobServer|Using the following options for Hangfire Server:
    Worker count: 12
    Listening queues: 'back', 'front', 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15 |url: |action: 
2021-11-04 14:49:09.2874||INFO|Hangfire.Server.BackgroundServerProcess|Server conference hangfire1:43164:3c8bfd7f successfully announced in 177.2368 ms |url: |action: 
2021-11-04 14:49:09.2956||INFO|Hangfire.Server.BackgroundServerProcess|Server conference hangfire1:43164:3c8bfd7f is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, Worker, DelayedJobScheduler, RecurringJobScheduler... |url: |action: 
2021-11-04 14:49:09.3359||INFO|Hangfire.Server.ServerWatchdog|3 servers were removed due to timeout |url: |action: 
2021-11-04 14:49:09.3583||INFO|Hangfire.Server.BackgroundServerProcess|Server conference hangfire1:43164:3c8bfd7f all the dispatchers started |url: |action: 
2021-11-04 14:49:11.5113||WARN|WebMVC.Middleware.OneMiddleware|One Middleware |url: https://localhost/|action: Index
2021-11-04 14:49:11.5166||WARN|WebMVC.Middleware.TwoMiddleware|Two Middleware |url: https://localhost/|action: Index
2021-11-04 14:49:11.5166||WARN|WebMVC.Middleware.ThreeMiddleware|Three Middleware |url: https://localhost/|action: Index
2021-11-04 14:49:11.7019||INFO|WebMVC.Controllers.AccountController|Index |url: https://localhost/|action: Index
2021-11-04 14:49:13.4008||WARN|WebMVC.Middleware.OneMiddleware|One Middleware |url: https://localhost/Account/Login|action: Login
2021-11-04 14:49:13.4061||WARN|WebMVC.Middleware.TwoMiddleware|Two Middleware |url: https://localhost/Account/Login|action: Login
2021-11-04 14:49:13.4061||WARN|WebMVC.Middleware.ThreeMiddleware|Three Middleware |url: https://localhost/Account/Login|action: Login
2021-11-04 14:49:14.9311||WARN|WebMVC.Middleware.OneMiddleware|One Middleware |url: https://localhost/Home/Index|action: Index
2021-11-04 14:49:14.9311||WARN|WebMVC.Middleware.TwoMiddleware|Two Middleware |url: https://localhost/Home/Index|action: Index
2021-11-04 14:49:14.9408||WARN|WebMVC.Middleware.ThreeMiddleware|Three Middleware |url: https://localhost/Home/Index|action: Index
2021-11-04 14:49:14.9408||INFO|WebMVC.Filter.MyFilter|do2222 something..... |url: https://localhost/Home/Index|action: Index
